69,31,86,29,105,28,123,28,135,28,153,30,168,32,168,46,153,44,134,41,123,41,106,41,86,42,69,44
25,47,45,47,92,45,112,46,149,45,192,46,212,47,212,60,192,60,149,58,112,59,92,59,46,60,26,60
25,62,43,62,85,61,125,62,149,60,180,60,203,59,203,72,180,73,149,73,125,74,86,73,43,75,26,74
27,78,50,76,89,75,115,73,160,72,193,72,213,73,213,88,193,87,160,87,115,87,90,90,50,91,27,93
42,93,62,92,99,91,133,89,178,88,210,89,230,89,228,100,208,100,179,99,134,100,99,102,62,103,42,104
24,105,47,104,88,104,128,102,172,103,205,103,228,103,228,115,205,115,172,116,128,114,89,116,48,116,25,117
24,129,45,130,84,131,113,131,153,129,181,130,204,129,204,143,181,143,153,142,114,144,84,144,45,143,24,142
27,188,44,188,83,187,122,186,154,186,182,186,205,187,206,199,183,199,155,199,121,199,83,200,45,200,27,201
30,202,50,201,82,202,115,201,165,200,184,202,203,204,203,215,184,213,165,211,115,212,82,213,50,213,30,213
30,215,47,215,82,216,116,216,149,215,194,216,214,216,214,227,194,228,149,226,116,228,82,228,47,227,30,226
30,231,50,228,95,231,115,227,159,229,189,227,212,228,212,241,189,241,158,242,115,241,95,244,50,242,30,244
33,244,52,244,82,243,116,244,149,244,188,244,207,244,208,255,188,255,150,255,116,255,82,254,53,255,33,255
40,274,63,273,97,271,120,271,151,271,185,270,208,269,208,282,185,283,151,283,120,284,98,284,63,286,40,287
32,286,51,286,86,286,125,286,162,284,186,284,206,283,206,295,186,296,163,296,126,298,86,297,51,298,32,298
28,302,51,301,91,299,124,298,154,300,192,297,214,296,215,309,192,310,155,313,124,311,91,312,51,314,29,315
30,313,53,312,90,314,130,311,156,312,186,312,209,313,209,326,186,325,156,325,131,325,90,327,53,326,30,326
32,357,54,357,95,356,128,355,153,355,188,354,211,355,211,368,188,367,153,368,128,368,95,369,54,369,31,370
39,373,62,372,85,370,136,370,156,369,189,368,212,367,212,380,189,381,156,382,136,383,86,383,62,385,39,386
