21,62,50,59,87,57,119,53,142,52,177,52,210,52,210,71,177,70,143,71,121,72,87,76,50,77,21,81
70,97,90,96,114,99,133,96,155,97,175,102,198,108,197,123,174,116,152,111,134,111,113,113,90,111,70,111
101,130,114,129,140,129,158,128,170,130,196,131,206,134,206,145,195,143,169,141,157,139,141,140,114,140,102,141
108,146,121,145,142,145,157,144,175,144,194,144,211,145,211,155,195,154,174,153,158,154,142,155,121,155,108,155
110,172,127,172,139,172,159,171,176,171,200,171,212,171,212,184,200,184,176,184,159,184,139,184,128,184,110,185
109,188,129,186,140,186,160,184,177,186,197,185,212,187,212,198,197,196,178,197,160,196,140,197,131,198,111,199
110,201,120,201,142,201,159,201,179,201,193,201,210,201,211,211,194,211,179,211,159,211,142,212,121,211,111,211
37,274,59,272,84,270,117,270,159,269,198,269,216,270,216,282,198,282,159,281,118,283,85,283,59,285,36,286
41,292,60,289,79,287,113,285,149,284,197,283,217,283,217,295,197,295,149,296,114,297,79,298,61,301,41,303
29,330,55,328,89,326,119,326,162,326,187,326,213,327,214,341,188,341,162,340,120,340,89,340,56,342,29,344
36,342,56,342,96,341,132,342,164,341,196,340,215,340,216,351,196,351,164,352,132,353,96,352,57,353,37,353
39,357,62,356,83,355,125,354,159,353,188,353,210,353,211,366,188,366,159,366,126,367,83,368,62,369,39,370
30,372,50,371,84,370,132,368,152,367,199,369,221,370,221,382,198,382,152,380,132,380,85,383,50,384,30,385
