134,25,151,25,167,26,188,26,202,26,219,28,236,30,235,45,218,43,201,41,188,40,167,40,151,39,134,39
89,46,118,42,158,44,178,41,212,43,260,47,279,48,279,65,260,63,212,59,177,58,157,60,118,59,88,62
98,56,120,58,151,57,176,60,206,60,237,59,259,58,258,71,235,72,205,73,176,73,151,70,121,71,98,69
90,73,110,73,142,73,188,74,211,76,253,78,273,80,273,91,253,89,211,87,188,84,142,84,110,84,90,84
88,87,106,87,145,87,190,86,216,88,247,91,269,94,269,108,246,104,216,101,189,99,144,100,106,100,88,101
88,129,111,129,149,129,175,131,212,130,259,133,276,134,275,146,258,146,212,142,175,143,148,142,111,142,88,141
82,199,102,199,141,199,177,199,208,199,240,201,263,201,262,215,240,214,208,213,178,212,140,212,102,212,82,212
85,243,108,242,135,242,184,240,208,241,239,242,262,244,261,257,238,256,208,254,184,254,135,255,107,256,84,257
89,259,108,258,147,255,169,256,201,256,249,259,269,259,268,270,249,270,201,268,168,267,147,266,109,269,89,270
79,269,100,269,142,269,170,269,207,271,249,271,272,271,272,284,249,283,207,283,169,281,142,282,99,282,79,282
85,280,107,282,133,284,167,285,202,284,250,284,271,283,271,296,250,297,201,297,167,298,132,297,107,295,84,292
82,300,98,299,139,300,175,300,203,300,238,301,255,302,255,312,238,311,202,310,175,309,139,310,98,309,82,309
89,340,111,341,135,341,163,341,203,342,231,341,253,340,253,352,230,353,203,355,163,354,135,353,111,353,88,353
75,354,95,354,140,353,180,354,199,356,237,356,260,359,260,372,237,369,198,369,180,367,140,366,95,367,75,367
76,367,99,368,129,369,176,370,211,369,236,370,259,371,259,384,236,383,210,382,176,382,128,381,99,380,76,379
231,393,235,392,242,391,247,391,254,391,261,392,268,393,265,402,258,400,253,400,247,399,242,400,235,401,231,401
