93,76,110,76,147,75,192,75,215,78,256,76,282,78,281,93,255,91,215,92,192,89,147,89,110,90,93,90
94,89,116,89,147,90,182,90,220,92,257,92,280,94,280,106,257,105,220,105,181,102,147,102,117,102,94,101
104,106,123,106,150,105,185,106,223,107,249,108,268,109,269,121,249,120,222,118,186,118,149,116,123,117,104,117
91,116,111,117,159,119,190,121,212,119,247,120,270,117,269,130,246,133,212,132,189,134,159,132,111,131,91,129
91,133,112,132,148,133,179,132,222,133,261,133,279,133,278,146,261,146,223,147,179,145,148,146,111,146,91,146
91,148,109,148,147,147,180,148,212,148,248,148,268,147,267,158,247,159,212,159,180,159,147,158,109,159,91,160
95,160,118,161,149,162,188,161,217,164,250,163,273,164,273,176,250,175,217,176,188,174,148,174,118,173,95,173
94,173,117,174,147,175,180,175,215,175,249,176,272,176,272,189,249,188,215,187,180,188,147,188,117,187,94,186
55,222,77,220,118,217,176,217,202,218,240,220,263,222,263,235,240,232,201,230,176,229,118,230,79,233,56,235
90,258,112,258,141,259,177,260,219,261,238,262,261,262,262,275,239,274,218,274,178,273,140,272,113,271,90,271
97,283,124,286,148,288,182,288,221,286,250,287,277,286,276,301,250,301,221,301,182,303,147,302,123,300,97,298
89,301,109,301,155,301,187,300,211,302,258,301,276,302,276,315,258,314,210,315,187,313,155,314,108,314,88,314
93,328,112,329,153,329,176,331,221,330,245,331,265,332,264,343,245,342,221,342,176,342,152,341,113,341,93,339
91,342,111,343,142,344,180,343,220,344,246,346,269,349,269,361,247,359,220,356,180,356,142,356,111,355,91,355
236,393,242,393,248,393,255,393,261,392,269,393,275,393,274,403,269,403,261,403,255,403,248,403,242,403,236,403
