66,31,83,30,102,28,119,28,134,28,152,30,169,31,168,45,152,44,133,42,119,43,104,43,83,44,67,45
24,50,41,49,78,47,115,48,147,46,190,46,210,45,211,58,191,59,147,60,115,61,78,61,42,63,25,63
22,65,44,64,87,62,120,62,144,63,181,59,204,59,204,72,181,73,144,76,120,75,87,76,45,78,22,78
26,78,46,78,80,77,123,78,160,75,194,76,214,75,214,87,195,87,160,87,123,89,80,88,46,90,27,89
24,92,47,92,82,93,112,91,160,88,195,90,215,90,215,103,194,102,160,101,112,103,82,105,47,105,24,105
25,106,44,106,93,104,116,104,149,104,192,105,211,105,211,117,192,116,149,115,116,116,94,116,45,118,25,118
24,120,44,119,86,119,121,117,150,118,181,115,204,114,204,128,181,128,151,132,122,130,86,132,45,133,25,134
27,132,47,133,78,133,128,133,152,131,181,131,204,128,204,141,181,143,152,143,128,146,78,146,47,145,27,145
24,147,47,149,92,145,114,148,145,146,187,143,210,141,211,154,188,156,146,159,114,161,93,158,47,162,25,160
34,164,57,163,88,159,113,161,153,161,186,158,209,157,210,170,187,171,153,174,114,174,88,172,57,176,34,177
25,175,48,175,94,175,127,175,164,172,188,172,210,171,211,184,188,185,164,185,127,188,94,188,49,188,26,187
27,232,47,232,83,230,127,230,149,230,189,230,212,231,212,243,189,243,150,242,127,242,83,243,47,244,27,245
31,245,51,245,80,245,116,245,155,243,193,243,216,243,216,255,193,255,155,255,116,257,81,257,51,257,31,257
31,260,51,260,96,261,118,260,154,259,200,258,219,257,219,269,200,269,155,270,117,271,96,272,51,271,32,271
33,273,53,274,83,275,121,274,151,273,191,273,211,273,212,283,192,284,151,284,122,285,83,286,53,284,33,284
27,286,50,286,90,286,116,286,152,288,185,285,208,284,208,298,185,298,152,301,116,299,90,299,50,299,27,299
42,302,65,301,83,301,126,300,152,301,194,299,217,299,217,312,194,312,152,314,125,314,83,314,64,315,42,315
34,316,54,315,88,317,122,314,158,315,198,314,218,314,218,326,198,325,159,326,121,325,89,329,54,327,34,327
34,330,57,330,89,331,127,328,154,328,187,327,210,326,209,340,186,340,155,341,127,342,90,344,57,343,34,344
30,344,53,344,98,344,128,343,166,343,192,342,215,342,215,355,192,355,167,355,129,355,98,357,53,356,30,357
34,358,57,358,95,357,119,358,156,357,203,355,221,354,221,367,204,368,156,369,119,371,95,370,56,371,34,371
35,369,58,371,101,371,128,372,152,371,200,370,217,368,217,382,200,383,152,384,128,386,100,385,58,384,35,382
